Date,Open,High,Low,Close,Change %,Volume
"Jun. 02, 2020",33.52,33.82,31.79,32.32,-2.12,"3,264,605"
"Jun. 01, 2020",31.77,33.63,31.46,33.02,+4.07,"3,324,973"
"May 29, 2020",31.40,32.22,30.02,31.73,+6.44,"5,420,345"
"May 28, 2020",31.10,31.59,29.45,29.81,-1.49,"3,579,740"
"May 27, 2020",30.91,32.83,29.83,30.26,+7.69,"5,314,994"
"May 26, 2020",27.83,28.34,27.15,28.10,+6.84,"3,588,959"
"May 22, 2020",26.40,26.48,25.96,26.30,+0.31,"1,804,578"
"May 21, 2020",26.91,27.15,25.88,26.22,-2.64,"1,819,947"
"May 20, 2020",27.60,27.90,26.80,26.93,-1.43,"1,406,125"
"May 19, 2020",26.50,28.00,26.24,27.32,-0.07,"2,336,744"
"May 18, 2020",26.15,27.58,25.93,27.34,+10.91,"1,824,144"
"May 15, 2020",22.92,24.96,22.50,24.65,+7.17,"3,847,242"
"May 14, 2020",23.45,24.29,21.92,23.00,-2.83,"3,943,125"
"May 13, 2020",26.05,26.28,22.11,23.67,-8.96,"3,757,521"
"May 12, 2020",28.03,28.09,25.85,26.00,-6.24,"3,841,821"
"May 11, 2020",28.15,28.43,27.69,27.73,-3.14,"1,894,214"
"May 08, 2020",28.27,28.68,27.52,28.63,+2.29,"923,941"
"May 07, 2020",29.32,29.71,27.47,27.99,-2.98,"2,585,286"
"May 06, 2020",27.85,28.94,27.61,28.85,+6.14,"2,874,700"
"May 05, 2020",25.62,27.74,25.62,27.18,+4.22,"5,263,827"
"May 04, 2020",24.70,26.08,24.70,26.08,+2.03,"2,202,292"
"May 01, 2020",24.58,25.56,24.37,25.56,+0.91,"1,771,139"
"Apr. 30, 2020",24.83,25.61,24.35,25.33,-0.28,"2,467,763"
"Apr. 29, 2020",23.94,25.46,23.61,25.40,+9.96,"3,245,071"
"Apr. 28, 2020",22.51,23.36,22.14,23.10,+7.19,"1,431,999"
"Apr. 27, 2020",21.40,21.82,20.67,21.55,+4.41,"1,104,292"
"Apr. 24, 2020",22.00,22.15,20.50,20.64,-6.31,"1,885,176"
"Apr. 23, 2020",21.99,22.65,21.72,22.03,+2.32,"1,833,327"
"Apr. 22, 2020",20.76,21.72,20.43,21.53,+7.76,"1,039,545"
"Apr. 21, 2020",20.10,20.72,19.27,19.98,-5.13,"2,712,684"
"Apr. 20, 2020",21.00,21.29,20.48,21.06,-2.55,"1,301,109"
"Apr. 17, 2020",21.82,22.71,21.16,21.61,+2.61,"1,845,514"
"Apr. 16, 2020",21.22,21.57,20.46,21.06,+1.45,"1,641,525"
"Apr. 15, 2020",20.75,20.91,20.02,20.76,-2.35,"1,687,838"
"Apr. 14, 2020",21.18,22.73,21.01,21.26,+4.01,"1,884,232"
"Apr. 13, 2020",21.89,21.93,20.21,20.44,0.00,"1,445,299"
"Apr. 09, 2020",22.39,23.17,21.54,21.81,+0.37,"1,925,579"
"Apr. 08, 2020",20.28,22.32,19.77,21.73,+8.43,"2,147,683"
"Apr. 07, 2020",21.00,22.06,19.71,20.04,+1.47,"1,490,565"
"Apr. 06, 2020",18.34,19.95,18.10,19.75,+14.03,"3,125,466"
"Apr. 03, 2020",18.88,18.88,17.14,17.32,-8.36,"1,661,755"
"Apr. 02, 2020",18.27,19.66,18.06,18.90,+2.16,"1,713,237"
"Apr. 01, 2020",17.72,19.01,17.66,18.50,-4.29,"2,719,466"
"Mar. 31, 2020",19.62,19.70,18.99,19.33,-0.67,"2,069,491"
"Mar. 30, 2020",19.01,19.68,18.39,19.46,+3.40,"2,522,937"
"Mar. 27, 2020",20.33,20.51,18.75,18.82,-12.47,"2,763,278"
"Mar. 26, 2020",20.48,21.66,20.13,21.50,+7.55,"2,490,931"
"Mar. 25, 2020",17.25,21.25,17.20,19.99,+18.49,"3,981,116"
"Mar. 24, 2020",16.32,18.10,15.91,16.87,+12.84,"3,089,173"
"Mar. 23, 2020",16.10,16.27,13.81,14.95,-6.27,"4,888,321"
"Mar. 20, 2020",17.52,18.57,15.91,15.95,-5.68,"3,683,339"
"Mar. 19, 2020",15.60,17.24,13.58,16.91,+7.64,"4,049,668"
"Mar. 18, 2020",18.14,18.47,13.66,15.71,-21.17,"5,614,681"
"Mar. 17, 2020",20.82,20.99,17.69,19.93,-1.29,"3,872,896"
"Mar. 16, 2020",18.66,21.15,18.66,20.19,-13.38,"3,205,039"
"Mar. 13, 2020",23.09,23.48,21.40,23.31,+11.37,"5,587,251"
"Mar. 12, 2020",23.41,23.75,20.25,20.93,-19.31,"3,072,617"
"Mar. 11, 2020",26.36,27.16,24.92,25.94,-5.22,"2,855,112"
"Mar. 10, 2020",25.28,27.48,24.72,27.37,+13.19,"2,823,823"
"Mar. 09, 2020",26.01,26.02,22.73,24.18,-12.07,"5,273,878"
